lap,pos,driver,time
44,6,ricciardo,83065
44,7,piastri,83198
44,8,tsunoda,83340
44,9,albon,83409
44,10,hulkenberg,83728
44,11,ocon,83618
44,12,gasly,83385
44,13,norris,83021
44,14,bottas,83430
44,15,stroll,83415
44,16,sargeant,83764
44,17,zhou,84303
44,18,alonso,83994
45,1,max_verstappen,82129
45,2,hamilton,82438
45,3,leclerc,83082
45,4,sainz,83259
45,5,russell,83212
45,6,ricciardo,83608
45,7,piastri,83117
45,8,tsunoda,83223
45,9,albon,83578
45,10,hulkenberg,83947
45,11,ocon,83770
45,12,norris,83100
45,13,gasly,84325
45,14,bottas,83956
45,15,stroll,83732
45,16,sargeant,84013
45,17,zhou,84336
45,18,alonso,84283
46,1,max_verstappen,82105
46,2,hamilton,82728
46,3,leclerc,83073
46,4,sainz,82996
46,5,russell,82932
46,6,ricciardo,83280
46,7,piastri,83447
46,8,tsunoda,83282
46,9,albon,83898
46,10,hulkenberg,84248
46,11,norris,83845
46,12,ocon,85128
46,13,gasly,84427
46,14,bottas,83987
46,15,stroll,83901
46,16,sargeant,83742
46,17,alonso,83932
46,18,zhou,86227
47,1,max_verstappen,82060
47,2,hamilton,82413
47,3,leclerc,83101
47,4,sainz,83957
47,5,russell,83972
47,6,ricciardo,83783
47,7,piastri,83442
47,8,tsunoda,83274
47,9,albon,84142
47,10,norris,83041
47,11,hulkenberg,85120
47,12,ocon,84305
47,13,gasly,84267
47,14,bottas,84057
47,15,stroll,83963
47,16,sargeant,83450
47,17,zhou,84657
47,18,alonso,92827
48,1,max_verstappen,82179
48,2,hamilton,83429
48,3,leclerc,83115
48,4,sainz,83310
48,5,russell,83358
48,6,ricciardo,83473
48,7,piastri,85475
48,8,tsunoda,85523
48,9,albon,84063
48,10,norris,83518
48,11,hulkenberg,83984
48,12,ocon,83921
48,13,gasly,84167
48,14,bottas,84077
48,15,stroll,84163
48,16,sargeant,83807
48,17,zhou,84348
49,1,max_verstappen,82172
49,2,hamilton,82615
49,3,leclerc,83003
49,4,sainz,83256
49,5,russell,83369
49,6,ricciardo,83467
49,7,piastri,84269
49,8,norris,83356
49,9,albon,85654
49,10,hulkenberg,84467
49,11,ocon,84658
49,12,gasly,84614
49,13,bottas,84581
49,14,stroll,84352
49,15,sargeant,84536
49,16,tsunoda,100130
49,17,zhou,84907
50,1,max_verstappen,82294
50,2,hamilton,82772
50,3,leclerc,83167
50,4,sainz,83101
50,5,russell,83612
50,6,ricciardo,83509
50,7,piastri,83213
50,8,norris,83109
50,9,albon,83805
50,10,hulkenberg,83964
50,11,ocon,83817
50,12,gasly,83937
50,13,bottas,83992
50,14,stroll,83973
50,15,sargeant,83495
50,16,tsunoda,83733
50,17,zhou,84119
51,1,max_verstappen,82323
51,2,hamilton,83538
51,3,leclerc,82858
51,4,sainz,82910
51,5,russell,83273
51,6,ricciardo,83135
51,7,piastri,83004
51,8,norris,82672
51,9,albon,83860
51,10,hulkenberg,83969
51,11,ocon,84136
51,12,gasly,84041
51,13,bottas,83880
51,14,stroll,83854
51,15,sargeant,83799
51,16,tsunoda,83461
51,17,zhou,84354
52,1,max_verstappen,82336
52,2,hamilton,82722
52,3,leclerc,82769
52,4,sainz,82835
52,5,russell,83035
52,6,ricciardo,83282
52,7,piastri,83118
52,8,norris,82675
52,9,albon,83768
52,10,hulkenberg,84120
52,11,ocon,83990
52,12,gasly,84527
52,13,bottas,84861
52,14,stroll,84600
52,15,sargeant,83858
52,16,tsunoda,83504
52,17,zhou,84489
53,1,max_verstappen,82286
53,2,hamilton,82563
53,3,leclerc,82942
53,4,sainz,82880
53,5,russell,82983
53,6,ricciardo,83126
53,7,piastri,82760
53,8,norris,82601
53,9,albon,83759
53,10,hulkenberg,84276
53,11,ocon,84146
53,12,gasly,84274
53,13,bottas,84297
53,14,stroll,84548
53,15,sargeant,83817
53,16,tsunoda,84328
53,17,zhou,84354
54,1,max_verstappen,82418
54,2,hamilton,82919
54,3,leclerc,82844
54,4,sainz,82932
54,5,russell,83060
54,6,ricciardo,83059
54,7,piastri,82877
54,8,norris,82497
54,9,albon,83608
54,10,hulkenberg,84324
54,11,ocon,84734
54,12,gasly,84246
54,13,bottas,84402
54,14,stroll,84217
54,15,sargeant,83916
54,16,tsunoda,83581
54,17,zhou,84008
55,1,max_verstappen,82421
55,2,hamilton,82831
55,3,leclerc,82873
55,4,sainz,82845
55,5,russell,83360
55,6,ricciardo,83307
55,7,piastri,83016
55,8,norris,82642
55,9,albon,84033
55,10,hulkenberg,84151
55,11,ocon,83909
55,12,gasly,83842
55,13,bottas,84004
55,14,stroll,84058
55,15,sargeant,83817
55,16,tsunoda,83245
55,17,zhou,83845
56,1,max_verstappen,82415
56,2,hamilton,82777
56,3,leclerc,82636
56,4,sainz,82611
56,5,russell,82995
56,6,ricciardo,83357
56,7,norris,82027
56,8,piastri,84999
56,9,albon,83568
56,10,hulkenberg,83687
56,11,ocon,83824
56,12,gasly,83727
56,13,bottas,84356
56,14,stroll,84729
56,15,sargeant,84322
56,16,tsunoda,83931
56,17,zhou,83754
57,1,max_verstappen,82230
57,2,hamilton,82629
57,3,leclerc,82538
57,4,sainz,82539
57,5,russell,82973
57,6,ricciardo,83007
57,7,norris,82635
57,8,piastri,83473
57,9,albon,83236
57,10,hulkenberg,83757
57,11,ocon,83602
57,12,gasly,83695
57,13,bottas,83726
57,14,stroll,84506
57,15,sargeant,84890
57,16,tsunoda,83666
57,17,zhou,84404
58,1,max_verstappen,82370
58,2,hamilton,82334
58,3,leclerc,82634
58,4,sainz,82774
58,5,russell,83348
58,6,ricciardo,83144
58,7,norris,82492
58,8,piastri,83362
58,9,albon,83238
58,10,hulkenberg,84227
58,11,ocon,84249
58,12,gasly,84380
58,13,bottas,83831
58,14,stroll,83648
58,15,sargeant,83534
58,16,tsunoda,84270
58,17,zhou,84080
59,1,max_verstappen,82208
59,2,hamilton,82437
59,3,leclerc,82504
59,4,sainz,82548
59,5,russell,82936
59,6,ricciardo,83103
59,7,norris,82460
59,8,piastri,83231
59,9,albon,83297
59,10,hulkenberg,83977
59,11,ocon,84035
59,12,gasly,83672
59,13,bottas,83681
59,14,stroll,83772
59,15,sargeant,83805
59,16,tsunoda,83299
59,17,zhou,83846
60,1,max_verstappen,81991
60,2,hamilton,82083
60,3,leclerc,82632
60,4,sainz,82754
60,5,russell,82929
60,6,norris,83208
60,7,ricciardo,85294
60,8,piastri,83181
60,9,albon,83146
60,10,hulkenberg,83634
60,11,ocon,83739
60,12,gasly,83916
60,13,bottas,83788
60,14,stroll,83507
60,15,sargeant,83764
60,16,tsunoda,83137
60,17,zhou,83698
61,1,max_verstappen,82100
61,2,hamilton,82691
61,3,leclerc,82768
61,4,sainz,82663
61,5,russell,82983
61,6,norris,82498
61,7,ricciardo,83655
61,8,piastri,82815
61,9,albon,83128
61,10,hulkenberg,83843
61,11,ocon,83614
61,12,gasly,83824
61,13,bottas,83671
61,14,stroll,83686
61,15,sargeant,83822
61,16,tsunoda,83457
61,17,zhou,83846
62,1,max_verstappen,82196
62,2,hamilton,82252
62,3,leclerc,82783
62,4,sainz,82865
62,5,russell,83029
62,6,norris,82421
62,7,ricciardo,83070
62,8,piastri,82947
62,9,albon,83189
62,10,hulkenberg,84447
62,11,ocon,84486
62,12,gasly,84276
62,13,bottas,84204
62,14,stroll,83903
62,15,sargeant,83585
62,16,tsunoda,83565
62,17,zhou,83859
63,1,max_verstappen,82245
63,2,hamilton,82412
63,3,leclerc,82805
63,4,sainz,82905
63,5,russell,82930
63,6,norris,82403
63,7,ricciardo,82862
63,8,piastri,83157
63,9,albon,83120
63,10,hulkenberg,84444
63,11,ocon,84487
63,12,gasly,84229
63,13,bottas,84088
63,14,stroll,84059
63,15,sargeant,84008
63,16,tsunoda,84105
63,17,zhou,84259
64,1,max_verstappen,82200
64,2,hamilton,82497
64,3,leclerc,82708
64,4,sainz,82851
64,5,russell,83004
64,6,norris,82496
64,7,ricciardo,82811
64,8,piastri,82977
64,9,albon,82913
64,10,hulkenberg,83989
64,11,ocon,84002
64,12,gasly,84282
64,13,bottas,84079
64,14,stroll,83933
64,15,sargeant,84054
64,16,tsunoda,83614
64,17,zhou,84237
65,1,max_verstappen,82377
65,2,hamilton,81991
65,3,leclerc,82921
65,4,sainz,82841
65,5,russell,83181
65,6,norris,82775
65,7,ricciardo,82839
65,8,piastri,83208
65,9,albon,82773
65,10,hulkenberg,84370
65,11,ocon,84002
65,12,gasly,84029
65,13,bottas,84214
65,14,stroll,84035
65,15,sargeant,83751
65,16,tsunoda,83983
65,17,zhou,84047
66,1,max_verstappen,82110
66,2,hamilton,82078
66,3,leclerc,82619
66,4,sainz,82719
66,5,russell,83239
66,6,norris,83188
66,7,ricciardo,82679
66,8,piastri,83133
66,9,albon,82826
